solver,agent_id,task_id,step,loc,row,col
solver1,31,15107,11,1304135,724,935
solver1,31,15107,12,1305935,725,935
solver1,31,15107,13,1307735,726,935
solver1,32,22899,0,2849386,1582,1786
solver1,32,22899,1,2849385,1582,1785
solver1,32,22899,2,2849384,1582,1784
solver1,32,22899,3,2849383,1582,1783
solver1,32,22899,4,2851183,1583,1783
solver1,32,22899,5,2852983,1584,1783
solver1,32,22899,6,2854783,1585,1783
solver1,32,22899,7,2856583,1586,1783
solver1,32,22899,8,2858383,1587,1783
solver1,33,19709,0,208790,115,1790
solver1,33,19709,1,208789,115,1789
solver1,33,19709,2,208788,115,1788
solver1,33,19709,3,208787,115,1787
solver1,34,20638,0,129647,72,47
solver1,34,20638,1,131447,73,47
solver1,34,20638,2,131448,73,48
solver1,34,20638,3,131449,73,49
solver1,34,20638,4,131450,73,50
solver1,34,20638,5,131451,73,51
solver1,34,20638,6,129651,72,51
solver1,35,20073,0,2141265,1189,1065
solver1,35,20073,1,2141264,1189,1064
solver1,35,20073,2,2141263,1189,1063
solver1,35,20073,3,2141262,1189,1062
solver1,35,20073,4,2141261,1189,1061
solver1,35,20073,5,2141260,1189,1060
solver1,35,20073,6,2141259,1189,1059
solver1,35,20073,7,2143059,1190,1059
solver1,36,25280,0,2885757,1603,357
solver1,36,25280,1,2885758,1603,358
solver1,36,25280,2,2885759,1603,359
solver1,36,25280,3,2887559,1604,359
solver1,36,25280,4,2889359,1605,359
solver1,36,25280,5,2891159,1606,359
solver1,36,25280,6,2891160,1606,360
solver1,36,25280,7,2891161,1606,361
solver1,36,25280,8,2891162,1606,362
solver1,36,25280,9,2891163,1606,363
solver1,36,25280,10,2891164,1606,364
solver1,36,25280,11,2891165,1606,365
solver1,36,25280,12,2891166,1606,366
solver1,37,24554,0,2929677,1627,1077
solver1,37,24554,1,2929676,1627,1076
solver1,37,24554,2,2929675,1627,1075
solver1,37,24554,3,2929674,1627,1074
solver1,38,24325,0,3344721,1858,321
solver1,38,24325,1,3344720,1858,320
solver1,38,24325,2,3344719,1858,319
solver1,38,24325,3,3346519,1859,319
solver1,38,24325,4,3348319,1860,319
solver1,38,24325,5,3350119,1861,319
solver1,39,29223,0,1972964,1096,164
solver1,39,29223,1,1972965,1096,165
solver1,39,29223,2,1972966,1096,166
solver1,39,29223,3,1972967,1096,167
solver1,39,29223,4,1974767,1097,167
solver1,39,29223,5,1976567,1098,167
solver1,39,29223,6,1978367,1099,167
solver1,39,29223,7,1980167,1100,167
solver1,39,29223,8,1981967,1101,167
solver1,39,29223,9,1983767,1102,167
solver1,39,29223,10,1985567,1103,167
solver1,39,29223,11,1987367,1104,167
solver1,39,29223,12,1989167,1105,167
solver1,39,29223,13,1990967,1106,167
solver1,39,29223,14,1992767,1107,167
solver1,39,29223,15,1994567,1108,167
solver1,39,29223,16,1994566,1108,166
solver1,40,18952,0,1936790,1075,1790
solver1,40,18952,1,1936791,1075,1791
solver1,40,18952,2,1936792,1075,1792
solver1,40,18952,3,1936793,1075,1793
solver1,40,18952,4,1936794,1075,1794
solver1,41,5554,0,1606897,892,1297
solver1,41,5554,1,1606898,892,1298
solver1,41,5554,2,1606899,892,1299
solver1,41,5554,3,1608699,893,1299
solver1,41,5554,4,1610499,894,1299
solver1,41,5554,5,1612299,895,1299
solver1,41,5554,6,1614099,896,1299
solver1,41,5554,7,1615899,897,1299
solver1,41,5554,8,1617699,898,1299
solver1,41,5554,9,1619499,899,1299
solver1,41,5554,10,1621299,900,1299
solver1,42,1636,0,380252,211,452
solver1,42,1636,1,380251,211,451
solver1,42,1636,2,380250,211,450
solver1,42,1636,3,380249,211,449
solver1,43,19389,0,1790439,994,1239
solver1,43,19389,1,1792239,995,1239
solver1,43,19389,2,1794039,996,1239
solver1,43,19389,3,1795839,997,1239
solver1,43,19389,4,1797639,998,1239
solver1,43,19389,5,1799439,999,1239
solver1,43,19389,6,1801239,1000,1239
solver1,43,19389,7,1801238,1000,1238
solver1,44,6044,0,730939,406,139
solver1,44,6044,1,729139,405,139
solver1,44,6044,2,727339,404,139
solver1,44,6044,3,725539,403,139
solver1,44,6044,4,723739,402,139
solver1,44,6044,5,721939,401,139
solver1,44,6044,6,720139,400,139
solver1,44,6044,7,720138,400,138
solver1,44,6044,8,720137,400,137
solver1,45,10519,0,2232348,1240,348
solver1,45,10519,1,2232347,1240,347
solver1,45,10519,2,2232346,1240,346
solver1,45,10519,3,2232345,1240,345
solver1,45,10519,4,2232344,1240,344
solver1,45,10519,5,2232343,1240,343
solver1,45,10519,6,2234143,1241,343
solver1,46,8391,0,1841719,1023,319
solver1,46,8391,1,1843519,1024,319
solver1,46,8391,2,1843518,1024,318
solver1,46,8391,3,1843517,1024,317
solver1,46,8391,4,1843516,1024,316
solver1,46,8391,5,1843515,1024,315
solver1,46,8391,6,1843514,1024,314
solver1,47,25490,0,2956197,1642,597
solver1,47,25490,1,2956198,1642,598
solver1,47,25490,2,2956199,1642,599
solver1,47,25490,3,2956200,1642,600
solver1,47,25490,4,2956201,1642,601
solver1,47,25490,5,2956202,1642,602
solver1,47,25490,6,2956203,1642,603
solver1,47,25490,7,2954403,1641,603
